id,outlet,url,published_at,title,lead,rubric,language,country
1728ba115f68,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/26/1186234-lihachev-aes-busher,2026-03-28 13:26:57,«Росатом» сообщил о новом ударе по АЭС «Бушер»,,Политика,ru,RU
8272b57f4211,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186241-maersk-portu-omana,2026-03-28 13:41:46,Maersk приостановила операции в порту Омана из-за беспилотной атаки,,Политика / Международные новости,ru,RU
baffda2eaf94,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/26/1186242-vitse-mera-sochi-strazhu,2026-03-28 14:00:08,Вице-мэра Сочи Горобца подозревают в махинациях с землей на 400 млн рублей,,Политика / Власть,ru,RU
ecd46fbe1f46,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186243-gorbatii-kit-melkovode,2026-03-28 14:08:59,Спасенный накануне горбатый кит снова застрял на мелководье в Балтийском море,,Политика / Международные новости,ru,RU
de3b72f80526,vedomosti,https://www.vedomosti.ru/society/news/2026/03/28/1186246-edinaya-rossiya-opershtab,2026-03-28 14:16:15,«Единая Россия» развернула оперштаб для помощи пострадавшим при ЧС в Дагестане,,Общество,ru,RU
04c91aff5b5d,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186247-tramp-printse-saudovskoi-aravii,2026-03-28 14:21:44,"Трамп: принц Саудовской Аравии считал меня неудачником, а теперь вежлив",,Политика / Международные новости,ru,RU
ebbfebe7a5d2,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186244-berns-kitai-partnerom,2026-03-28 14:29:48,Экс-посол США в КНР: Китай оказался ненадежным партнером для Ирана и Венесуэлы,,Политика / Международные новости,ru,RU
3108e6c878d9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186249-pohitili-kitkat,2026-03-28 14:34:49,В Евросоюзе похитили грузовик с 12 тоннами батончиков KitKat,,Политика / Международные новости,ru,RU
3aaa1b428ac3,vedomosti,https://www.vedomosti.ru/society/news/2026/03/24/1186252-student-mgtu-baumana,2026-03-28 15:11:14,Студент МГТУ имени Баумана выжил после падения с 11-го этажа,,Общество,ru,RU
fd103ad814e0,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186253-rheinmetall-proizvoditelei-dronov-domohozyaikami,2026-03-28 15:14:53,Глава Rheinmetall сравнил украинских производителей дронов с домохозяйками,,Политика / Международные новости,ru,RU
